Frame,X pixels,Y pixels,,,Frame,X pixels,Y pixels,,offx,offy,len,Bank Angle,,Cue Angle
420,768.211,421.625,,,420,1142.82,406.371,,374.609,-15.254,374.9194412,-2.33178393,-0.040686074,46.17925317
421,768.25,421.625,,,421,1142.86,406.332,,374.61,-15.293,374.9220292,-2.337732777,-0.040789814,46.15029321
422,767.902,421.645,,,422,1143.23,406.324,,375.328,-15.321,375.6405737,-2.337532906,-0.040786329,46.20207365
423,767.867,421.754,,,423,1142.82,406.332,,374.953,-15.422,375.2700232,-2.355275837,-0.041095742,46.14707853
424,767.895,421.746,,,424,1142.8,406.316,,374.905,-15.43,375.2223926,-2.356797603,-0.041122279,46.30837393
425,767.965,421.809,,,425,1142.81,406.359,,374.845,-15.45,375.1632665,-2.360226281,-0.04118207,46.31680695
426,767.84,421.723,,,426,1142.71,406.355,,374.87,-15.368,375.1848775,-2.347557175,-0.040961139,46.31798421
427,767.949,421.73,,,427,1142.71,406.422,,374.761,-15.308,375.0735154,-2.339081371,-0.040813332,46.31483996
428,767.844,421.668,,,428,1142.61,406.414,,374.766,-15.254,375.0763113,-2.330808158,-0.040669057,46.49366541
429,768.031,421.727,,,429,1142.66,406.402,,374.629,-15.325,374.9423199,-2.342500269,-0.040872953,46.4820745
430,767.918,421.773,,,430,1142.64,406.363,,374.722,-15.41,375.0387252,-2.354894402,-0.04108909,46.50001212
431,767.922,421.773,,,431,1142.59,406.352,,374.668,-15.421,374.985223,-2.356912748,-0.041124287,46.50046467
432,767.891,421.789,,,432,1142.68,406.355,,374.789,-15.434,375.1066553,-2.35813669,-0.041145631,46.49834957
433,768.105,421.723,,,433,1142.79,406.383,,374.685,-15.34,374.9988864,-2.344440475,-0.040906788,46.49714123
434,768.035,421.73,,,434,1142.8,406.398,,374.765,-15.332,375.0784924,-2.342719541,-0.040876777,46.52416068
435,767.91,421.766,,,435,1142.68,406.305,,374.77,-15.461,375.0887834,-2.362376934,-0.041219574,46.53332656
436,767.93,421.711,,,436,1142.71,406.371,,374.78,-15.34,375.0938069,-2.343846864,-0.040896436,46.93009517
437,768.09,421.742,,,437,1143.23,406.328,,375.14,-15.414,375.4565368,-2.352883306,-0.04105402,46.9197492
438,768.102,421.766,,,438,1143.28,406.359,,375.178,-15.407,375.4942174,-2.351578048,-0.041031258,46.8951443
439,768.062,421.66,,,439,1142.55,406.352,,374.488,-15.308,374.8007431,-2.340784654,-0.040843035,46.88781935
